target,cell_line,cell_line_idx,run_idx,seed,total_generated,valid_num,unique_num,novel_num,source_ligand_count,valid_rate,unique_rate,novel_rate,diversity,intdivp,max_tanimoto,tanimoto_pair_count,qed,sa,logp,lipinski,mw
MTOR,MCF7,9,7,49,100,100,94,3,1480,100.0,94.0,3.1914893617021276,0.8931395478918246,0.7216266280789264,1.0,148000,0.46895987612781376,3.445484929745149,2.169333333333336,0.6666666666666666,386.12966666666676
MTOR,MCF7,9,8,50,100,98,93,4,1480,98.0,94.89795918367346,4.301075268817204,0.8880902546485367,0.7277916453514748,1.0,145040,0.5240199161732282,3.628510769332785,2.0942250000000007,0.75,417.62575000000015
MTOR,MCF7,9,9,51,100,97,91,3,1480,97.0,93.81443298969072,3.2967032967032965,0.8828889424720645,0.6967351540582538,0.7384615384615385,143560,0.5331338379008411,3.2786961310143923,3.8668000000000027,0.6666666666666666,382.8213333333334
PIK3CA,MCF7,9,0,42,100,98,98,3,1177,98.0,100.0,3.061224489795918,0.8945079846941344,0.7709555783557155,0.6037735849056604,115346,0.8352167728166165,2.3657563536605255,2.4172600000000006,1,281.365
PIK3CA,MCF7,9,1,43,100,97,97,6,1177,97.0,100.0,6.185567010309279,0.8849715481547127,0.719341886165118,0.4473684210526316,114169,0.37133027431959786,3.6795691490305606,4.531606666666671,0.16666666666666666,565.771666666667
PIK3CA,MCF7,9,2,44,100,97,94,6,1177,97.0,96.90721649484536,6.382978723404255,0.888770722229652,0.7332665478703907,0.55,114169,0.46997038635151417,3.685170270628847,3.2967333333333357,0.3333333333333333,510.3973333333335
PIK3CA,MCF7,9,3,45,100,95,94,3,1177,95.0,98.94736842105263,3.1914893617021276,0.8927889928010188,0.7232203962320201,0.4507042253521127,111815,0.5727293702570919,4.561866493234587,3.379326666666668,0.3333333333333333,514.6593333333336
PIK3CA,MCF7,9,4,46,100,96,92,7,1177,96.0,95.83333333333333,7.608695652173913,0.8908374174648537,0.7317595424508277,0.3894736842105263,112992,0.5688663202568227,3.396357810334134,3.308252857142861,0.5714285714285714,457.2467142857144
PIK3CA,MCF7,9,5,47,100,99,98,2,1177,99.0,98.98989898989899,2.0408163265306123,0.8906567814122712,0.7405054544240813,0.37209302325581395,116523,0.6524479843437927,2.9335968902506484,2.898250000000001,1,392.3325000000001
PIK3CA,MCF7,9,6,48,100,99,98,4,1177,99.0,98.98989898989899,4.081632653061225,0.8890531078701084,0.7184401190133003,1.0,116523,0.5170119949608971,3.597371770152128,4.491500000000004,0.25,525.0277500000001
PIK3CA,MCF7,9,7,49,100,99,95,5,1177,99.0,95.95959595959596,5.2631578947368425,0.8861957177997639,0.7236283663804433,1.0,116523,0.3677201645782618,4.222075294485223,5.376724000000006,0,604.9632000000001
PIK3CA,MCF7,9,8,50,100,97,97,9,1177,97.0,100.0,9.278350515463918,0.8948479927906869,0.7453398102994002,0.5769230769230769,114169,0.6034809251249087,3.5510534842952217,3.331508888888891,0.6666666666666666,447.0773333333335
PIK3CA,MCF7,9,9,51,100,99,97,10,1177,99.0,97.97979797979798,10.309278350515465,0.8893008209938289,0.7372362656062937,0.38,116523,0.5033915581981337,3.6473039848726065,2.704464000000001,0.6,463.0035000000001
SMAD3,MCF7,9,0,42,100,98,98,14,12413,98.0,100.0,14.285714285714286,0.8629027218194842,0.6531691939975567,0.8295454545454546,1216474,0.5118659026043285,3.749916397311466,3.8057628571428594,0.5,473.2813571428573
SMAD3,MCF7,9,1,43,100,99,98,17,12413,99.0,98.98989898989899,17.346938775510203,0.8560918993010762,0.6573264612275876,0.8518518518518519,1228887,0.4853246393664957,3.836628222862762,3.6947364705882384,0.47058823529411764,484.20529411764727
SMAD3,MCF7,9,2,44,100,98,98,10,12413,98.0,100.0,10.204081632653061,0.8547365744200084,0.6307669665722663,0.8205128205128205,1216474,0.47129648752734926,3.7403152193912494,4.148570000000004,0.2,520.7249000000002
SMAD3,MCF7,9,3,45,100,98,96,14,12413,98.0,97.95918367346938,14.583333333333334,0.8545288906459996,0.6404252112990392,0.9466666666666667,1216474,0.49460686299473133,4.229392943334242,3.701100000000003,0.2857142857142857,564.0065714285716
SMAD3,MCF7,9,4,46,100,98,97,9,12413,98.0,98.9795918367347,9.278350515463918,0.8598059504941011,0.6593337514615507,1.0,1216474,0.43616330463585584,3.794170193230181,3.7751077777777824,0.3333333333333333,542.1218888888891
SMAD3,MCF7,9,5,47,100,97,94,9,12413,97.0,96.90721649484536,9.574468085106384,0.8614033331763346,0.6850557927039589,0.7037037037037037,1204061,0.4315835567846027,3.629706482330592,3.8984555555555587,0.4444444444444444,488.08766666666685
