model,protein_name,run_idx,valid_num,unique_raw_num,novelty_gxvaes_percent,max_tanimoto_gxvaes
Tx2Mol-original-replay-20260925,CTSK,1,99,96,75.0,0.4339622641509434
Tx2Mol-original-replay-20260925,CTSK,2,99,98,82.65306122448979,0.3626373626373626
Tx2Mol-original-replay-20260925,CTSK,3,99,97,89.69072164948453,0.4807692307692308
Tx2Mol-original-replay-20260925,CTSK,4,99,98,83.6734693877551,0.4262295081967213
Tx2Mol-original-replay-20260925,CTSK,5,100,99,76.76767676767676,0.3698630136986301
Tx2Mol-original-replay-20260925,CTSK,6,99,96,86.45833333333333,0.4032258064516129
Tx2Mol-original-replay-20260925,CTSK,7,100,97,83.50515463917526,0.3902439024390244
Tx2Mol-original-replay-20260925,CTSK,8,98,98,79.59183673469387,0.4807692307692308
Tx2Mol-original-replay-20260925,CTSK,9,100,98,83.6734693877551,0.4262295081967213
Tx2Mol-original-replay-20260925,EGFR,0,100,98,82.65306122448979,0.7875
Tx2Mol-original-replay-20260925,EGFR,1,98,98,85.71428571428571,0.5116279069767442
Tx2Mol-original-replay-20260925,EGFR,2,100,99,84.84848484848484,0.8181818181818182
Tx2Mol-original-replay-20260925,EGFR,3,100,99,80.8080808080808,1.0
Tx2Mol-original-replay-20260925,EGFR,4,98,93,81.72043010752688,0.5277777777777778
Tx2Mol-original-replay-20260925,EGFR,5,100,99,87.87878787878788,0.6111111111111112
Tx2Mol-original-replay-20260925,EGFR,6,98,98,84.6938775510204,0.5396825396825397
Tx2Mol-original-replay-20260925,EGFR,7,98,95,82.10526315789474,0.6986301369863014
Tx2Mol-original-replay-20260925,EGFR,8,100,100,81.0,0.5333333333333333
Tx2Mol-original-replay-20260925,EGFR,9,100,96,84.375,0.75
Tx2Mol-original-replay-20260925,HDAC1,0,97,91,90.10989010989012,0.7872340425531915
Tx2Mol-original-replay-20260925,HDAC1,1,96,93,81.72043010752688,0.7872340425531915
Tx2Mol-original-replay-20260925,HDAC1,2,99,94,76.59574468085107,0.6172839506172839
Tx2Mol-original-replay-20260925,HDAC1,3,96,90,77.77777777777777,0.84375
Tx2Mol-original-replay-20260925,HDAC1,4,96,96,90.625,0.74
Tx2Mol-original-replay-20260925,HDAC1,5,97,95,84.21052631578948,0.84375
